,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
2753,Papa Higihrte||reportagem,Macksen Luiz,,1980,Jornal do Brasil,"No novo ano , a mesma qualidade"
2754,Mirandolina||reportagem,Yan Michalski,,1965,,Teatro
2755,Mirandolina||reportagem,,,1965,O Jornal,Ainda 64 : Aconteceram coisas
2756,Mirandolina||divulgação,,,1965,O Jornal,Veja o Original
2757,Mirandolina||reportagem,,,1965,O Jornal,Ainda é tempo de rir com Goldoni
2758,Mirandolina||reportagem,,,1965,O Jornal,Pontos altos da Temporada de 64
2759,A Útima Gravação de Krapp||reportagem,conforme legenda,,,conforme legenda,A última gravação de Krapp
2760,Longa Jornada De Um Dia Noite Adentro||reportagem,Maria Lucia Rangel,,2002,Revista Aplauso ano IV número 40,Longa Jornada de um Dia Noite Adentro
2761,Prêmios,,,2010,,Prêmio SESC Rio de Fomento à Cultura
2762,Prêmios,,,2011,,Prêmio Jabuti
2763,Sergio Britto,,,1992,,O Teatro transcende
2764,Viagens||escrito,Sergio Britto,,1996,,Viagem a New York
2765,Mirandolina||divulgação,,,1965,O Globo,Mirandolina
2766,Mirandolina||divulgação,,,1965,O Globo,Prêmio Molière
2767,Mirandolina||divulgação,,,1965,,Mirandolina no fim
2768,Mirandolina||divulgação,,,1965,Luta Democrática,Destaques da Semana
2769,Mirandolina||critica,Luiza Barreto Leite,,1965,Jornal do Commercio,Análise de dois diretores
2770,Mirandolina||reportagem,,,1965,Jornal do Brasil,Molière aponta os melhores
2771,Mirandolina||reportagem,Fernando Pessoa Ferreira,,1965,Diário Carioca,"64 , ano pobre"
2772,Mirandolina||divulgação,,,1965,,Mirandolina
2773,Mirandolina||divulgação,Fernando Pessoa Ferreira,,1965,Diário Carioca,Três Notícias
2774,Mirandolina||divulgação,,,1965,Correio da Manhã,Mirandolina
2775,Mirandolina||divulgação,Geraldo Queiroz,,1965,,""" Depois da queda "" volta ao Rio"
2776,Mirandolina||propaganda,,,1965,,Mirandolina
2777,Mirandolina||propaganda,,,1965,,Mirandolina
2778,A parisiense||divulgação,,,1965,,A Parisiense
2779,Il Piccolo Teatro di Milano||divulgação,Jô Soares,,1965,Última Hora,Capital
2780,Il Piccolo Teatro di Milano||reportagem,Fausto Wolff,,1965,Tribuna da Imprensa,Capital Federal em Maio
2781,Il Piccolo Teatro di Milano||reportagem,Fausto Wolff,,1965,Tribuna da Imprensa,"Estética , reclamantes e crítica"
2782,O Poder do Hábito||digitado,Thomas Bernard,"Elenco: Hilton Cobra, Cibele de Sá, Caco Monteiro, Emmanuel Ferreira dos Santos e Sergio Britto. Direção: Nehle Franke.",1999,,O poder do hábito
2783,Il Piccolo Teatro di Milano||divulgação,,,1965,,Teatro dos Sete vai inaugurar o novo  João Caetano
2784,Il Piccolo Teatro di Milano||reportagem,,,1965,Jornal do Brasil,Peça de Artur Azevedo reabrirá João Caetano
2785,Il Piccolo Teatro di Milano||divulgação,Fernando Pessoa Ferreira,,1965,Diário Carioca,Os Sete em duas frentes
2786,Il Piccolo Teatro di Milano||divulgação,,,1965,,Os Sete em duas frentes
2787,Il Piccolo Teatro di Milano||divulgação,Fernando Pessoa Ferreira,,1965,Diário Carioca,Quatro Notícias
2788,Il Piccolo Teatro di Milano||reportagem,,,1965,Diário de Notícias,A  Capital Federal
2789,Il Piccolo Teatro di Milano||reportagem,Henrique Oscar,,1965,Diário de Notícias,Sete levarão Capital Federal no João Caetano continuando também no Ginástico
2790,Il Piccolo Teatro di Milano||reportagem,Fernando Pessoa Ferreira,,1965,Diário Carioca,A Capital Federal
2791,Il Piccolo Teatro di Milano||reportagem,Edigar de Alencar,,1965,A Notícia,O teatro e o IV Centenário
2792,Flor de Cactus||divulgação,,,1965,Última Hora,Flor de Cactus
2793,Flor de Cactus||divulgação,Maria Luisa Pinhel,,1965,Tribuna da Imprensa,Natália e Sérgio no drama da flor
2794,Flor de Cactus||critica,Fausto Wolff,,1965,Tribuna da Imprensa,Flor de Cactus no Copacabana
2795,Flor de Cactus||divulgação,Victor de Carvalho,,1965,,Flor de Cactus atrai grande público
2796,Maria Della Costa||reportagem,,,1952,Diário Popular,Teatro Popular de Arte
2797,Maria Della Costa||reportagem,,,1952,Diário de Notícias,Manequim ainda em cartaz no Teatro São Pedro até domingo
2798,Maria Della Costa||reportagem,,,1952,Diário de Notícias,Estréia hoje o teatro de repertório
2799,Maria Della Costa||reportagem,,,1952,Diário de Notícias,Hoje na Farroupilha Maria Della Costa
2800,Maria Della Costa||reportagem,Cypriano F. Bernd,,1952,Diário de Notícias,Desejo
2801,Maria Della Costa||reportagem,Cypriano F. Bernd,,1952,Diário de Notícias,O fundo do poço
2802,Maria Della Costa||reportagem,Cypriano F. Bernd,,1952,Diário de Notícias,A...respeitosa
2803,Maria Della Costa||reportagem,Cypriano F. Bernd,,1952,Diário de Notícias,Familia Barrett
2804,Maria Della Costa||reportagem,,,1952,Diário de Notícias,Ronda do teatro
2805,Maria Della Costa||reportagem,,,1952,Diário de Notícias,Quando um artista faz anos
2806,Maria Della Costa||reportagem,,,1952,Diário de Notícias,Companhia Maria Della Costa
2807,Maria Della Costa||reportagem,,,1952,Cruzeiro do Sul,O pudor público
2808,Maria Della Costa||reportagem,,,1952,Correio do Sul,A família Barrett
2809,Maria Della Costa||reportagem,,,1952,Correio do Povo,Teatro
2810,Maria Della Costa||reportagem,,,1952,Correio do Povo,Obteve exito a estréia de Manequim
2811,Maria Della Costa||reportagem,,,,Correio do Povo,O fundo do poço
2812,Maria Della Costa||reportagem,,,,Correio do Povo,Desejo de O'Neill
2813,Maria Della Costa||reportagem,,,,Correio do Povo,Grande interesse despertou a estréia da Família Barrett
2814,Maria Della Costa||reportagem,,,1951,Correio do Povo,Hoje O fundo do poço uma realização de teatro expressionista
2815,Maria Della Costa||reportagem,,,1951,Correio do Povo,Hoje O fundo do poço uma realização de teatro expressionista
2816,Maria Della Costa||reportagem,Luiz Royes,,1952,Correio do Povo,A melhoria de repertório parece ter afugentado os espectadores
2817,Flor de Cactus||critica,,,1965,,Flor de Cactus
2818,Flor de Cactus||divulgação,Henrique Oscar,,1965,,Flor de Cactus hoje no Copacabana
2819,Flor de Cactus||divulgação,,,1965,,Flor de Cactus
2820,Flor de Cactus||divulgação,,,1965,,Flor de Cactus
2821,Flor de Cactus||divulgação,,,1965,,Flor de Cactus
2822,Maria Della Costa||reportagem,,,1952,Correio da Manhã,Sergio Britto vence em Porto Alegre
2823,Flor de Cactus||divulgação,,,1965,,Festa das 100 Representações
2824,Maria Della Costa||escrito,Sergio Britto,,1952,,Caxias é real
2825,Maria Della Costa||escrito,Sergio Britto,,1952,,Capa do Book
2826,Maria Della Costa||escrito,Sergio Britto,,1952,,Cachoeira do Sul - Coliseu
2827,Maria Della Costa||escrito,Sergio Britto,,1952,,Bagé - Capitólio
2828,Maria Della Costa||escrito,Sergio Britto,,1952,,A prostituta respeitosa
2829,Maria Della Costa||propaganda,,,1952,,A familia Barret
2830,Maria Della Costa,,"Eugenio Kusnet, Sergio Britto, Rita Shuman, Maria Lamagniere e Sandro.||Direção de Eugenio Kusnet, cenários de Gregori Warchavchik , figurinos de Lili Junqueira.",1952,,Manequim
2831,Maria Della Costa,,"Sandro, Sergio Britto, Geraldo Soares, Maria Della Costa, Edmundo Lopes e Enor Fonseca.||de Eugene O'Neill. Direção: Ziembinski.",1952,,Desejo
2832,Maria Della Costa,,"Eugenio Kusnet, Sergio Britto, Rita Shuman, Maria Lamagniere e Sandro||Companhia Sandro e Maria Della Costa. Direção de Eugenio Kusnet, cenários de Gregori Warchavchik , figurinos de Lili Junqueira.",1952,,Manequim
2833,Maria Della Costa,,"Eugenio Kusnet, Sergio Britto, Rita Shuman, Maria Lamagniere e Sandro||Companhia Sandro e Maria Della Costa. Direção de Eugenio Kusnet, cenários de Gregori Warchavchik , figurinos de Lili Junqueira.",1952,,Manequim
2834,Maria Della Costa,,,,,Maria Della Costa
2835,Jung e Eu||digitado,,,2006,,Jung e eu
2836,Jung e Eu||digitado | escrito,,,,,Jung e eu
2837,Jung e Eu||digitado,,,,,A arte de Sergio Britto
2838,Jung e Eu||reportagem,,,2007,Jornal O Globo,Sergio Britto
2839,Jung e Eu||reportagem,,,2006,O Estado de São Paulo,Quando o talento vence o tempo
2840,Jung e Eu||reportagem,,,2005,Jornal de Brasilia,Bate papo com Jung
2841,Jung e Eu||reportagem,,,2007,Jornal Gazeta do Povo,Sérgio Svoba Jung
2842,Jung e Eu||reportagem,,,2006,Folha de São Paulo,Os dez mais
2843,Jung e Eu||reportagem,,,2005,Jornal Correio Brasiliense,Psicanálise criativa
2844,Jung e Eu||reportagem,Sérgio Maggio,,2005,Jornal Correio Brasiliense,Peça exalta Carl Jung como homem de teatro
2845,Teatro dos Sete,,"Sergio Britto, Maria Della Costa, Elisio de Albuquerque, Wanda Kosmos, Fernanda Montenegro, Serafim Gonzales, Fabio Sabag, Edmundo Lopes, Amandio Silva Filho. Figurinos Luciana Petrucceli||direção de Ruggero Jacobbi. Cia Maria Della Costa. Cenários Gianni Ratto.",1966,,Mirandolina de Goldoni
2846,Teatro dos Sete||reportagem,,,,Revista Bravo,Revista Bravo Especial Teatro
2847,Teatro dos Sete||reportagem,Yan Michalski,,1964,Jornal do Brasil,A volta de Gianni Ratto
2848,Teatro dos Sete||reportagem,Mario Cabral,,1964,Jornal Tribuna da Imprensa,Fenanda volta da Capital Federal
2849,Teatro dos Sete||reportagem,,,1964,,Orçamento para A capital federal
2850,Yara Amaral,,,,,Yara Amaral
2851,Yara Amaral||reportagem,,,1989,Jornal Última Hora,Bateau IV será içado e periciado
2852,Yara Amaral||reportagem,,,1989,Jornal Tribuna da Imprensa,Revolta marca enterro da atriz
2853,Yara Amaral||reportagem,,,1989,Jornal Tribuna da Imprensa,A tragédia do Bateau Mouche
2854,Yara Amaral||reportagem,,,1989,Revista Isto é,A última entrevista da atriz
2855,Yara Amaral||reportagem,,,1989,Revista Contigo,A noite em que a festa de todos nós acabou
2856,Yara Amaral||reportagem,,,1989,Revista Amiga,A noite em que a festa de todos nós acabou
2857,Yara Amaral||reportagem,,,1986,Jornal O Globo,"Só, no palco, Yara investiga o mundo feminino"
2858,Yara Amaral||reportagem,Tania Neves,,1989,Jornal O Globo,A cerimônia do adeus
2859,Yara Amaral||reportagem,,,1989,Jornal O Globo,Yara Amaral previu seu fim no mar
2860,Yara Amaral||reportagem,,,1989,Jornal O Fluminense,Yara Amaral é levada pela onda que esperava
2861,Yara Amaral||reportagem,Armindo Blanco,,1989,Jornal O Dia,Os besouros também voam
2862,Yara Amaral||reportagem,Maria Helena Dutra,,1989,Jornal O Dia,A trizteza se fez de novo
2863,Yara Amaral||reportagem,Eliane Martins,,1989,Jornal O Dia,Cremação e revolta no enterro de Yara Amaral
2864,Yara Amaral||reportagem,,,1989,Jornal O Dia,TV e teatro perdem Yara Amaral
2865,Yara Amaral||reportagem,,,1989,Jornal do Commercio,Artistas vão a missa por Yara
2866,Yara Amaral||reportagem,,,1989,Jornal do Brasil,Revolta e protestos no enterro da atriz
2867,Yara Amaral||reportagem,,,1989,Jornal do Brasil,In memoriam
2868,Yara Amaral||reportagem,,,1989,Jornal do Brasil,Uma atriz nervosa e intensa
2869,Yara Amaral||reportagem,,,1989,Folha de São Paulo,Yara Amaral morre após carreira de 26 anos no teatro e na televisão
2870,Yara Amaral||reportagem,,,1989,O Estado de São Paulo,Atriz quer saída de ministros
2871,Prêmios,,,1990,,"Primeiro Prêmio Golden Metais de Teatro, Cinema & Televisão"
2872,Cerimônia do Adeus||reportagem,conforme legenda,,1987,conforme legenda,A cerimônia do adeus
2873,Cerimônia do Adeus||divulgação,,,1987,O Globo,A Cerimônia do Adeus
2874,Cerimônia do Adeus||divulgação,,,1987,O Globo,Teatro
2875,Cerimônia do Adeus||divulgação,,,1987,O Globo,A Cerimônia do Adeus
2876,Cerimônia do Adeus||reportagem,,,1987,O Globo,Mauro Rasi volta com ' A Cerimônia do Adeus '
2877,Cerimônia do Adeus||divulgação,,,1988,O Globo,Cerimônia do Adeus
2878,Cerimônia do Adeus||divulgação,,,1988,O Globo,Teatro
2879,Cerimônia do Adeus||divulgação,,,1987,O Globo,Campeões de Bilheteria
2880,Cerimônia do Adeus||entrevista,,,1987,O Globo,O ator imita a arte
2881,Cerimônia do Adeus||divulgação,,,1987,O Globo,O balanço cultural carioca
2882,Cerimônia do Adeus||divulgação,,,1987,O Globo,Cerimônia do Adeus
2883,Teatro dos Quatro||reportagem,Eliane Lobato,,1987,O Globo,Momentos de Emoção
2884,Cerimônia do Adeus||reportagem,Regina Guerra,,1988,O Globo,O Teatro Premiado
2885,Cerimônia do Adeus||reportagem,Eliane Lobato,,1988,O Globo,A Metralha do besteirol
2886,Cerimônia do Adeus||coluna social,,,1987,O Globo,A Cerimônia do Adeus
2887,Cerimônia do Adeus||coluna social,Fernando Carlos de Andrade,,1987,O Globo,A Cerimônia do Adeus
2888,Cerimônia do Adeus||divulgação,,,1987,O Globo,A Cerimônia do Adeus
2889,Cerimônia do Adeus||reportagem,Macedo Rodrigues,,1987,O Globo,"Agora no Rio , a cerimônia paulista"
2890,Cerimônia do Adeus||critica,Tânia Brandão,,1987,O Globo,Besteirol de Luxo
2891,Cerimônia do Adeus||divulgação,,,1987,Revista Visão,A Cerimônia do Adeus
2892,Cerimônia do Adeus||divulgação,,,1987,Última Hora,O novo ensaio de Bia Lessa
2893,Cerimônia do Adeus||divulgação,,,1987,Última Hora,Cerimônia do Adeus
2894,Cerimônia do Adeus||divulgação,,,1987,Última Hora,Cerimônia do Adeus
2895,Cerimônia do Adeus||reportagem,,,1987,Última Hora,Ligações Literárias
2896,Cerimônia do Adeus||reportagem,Tânia Brandão,,1987,Última Hora,Resoluções de Ano - novo
2897,Cerimônia do Adeus||critica,Ida Flores Dias,,1987,Última Hora,A Cerimônia do riso
2898,Cerimônia do Adeus||divulgação,,,1987,Tribuna da Imprensa,Cerimônia do Adeus
2899,Cerimônia do Adeus||reportagem,Antonio Abreu,,1987,Tribuna da Imprensa,A década do descaminho
2900,Cerimônia do Adeus||divulgação,,,1987,Tribuna da Imprensa,E no bis
2901,Cerimônia do Adeus||divulgação,,,1987,Tribuna da Imprensa,Cerimônia do Adeus
2902,Cerimônia do Adeus||reportagem,Marcos Ribas de Faria,,1987,Tribuna da Imprensa,Bons motivos para se ir ao teatro
2903,Cerimônia do Adeus||divulgação,,,1987,Tribuna da Imprensa,A Cerimônia do Adeus
2904,Cerimônia do Adeus||critica,Marcos Ribas de Faria,,1987,Tribuna da Imprensa,A extraordinária força de um texto e elenco altamente criativos
2905,Cerimônia do Adeus||reportagem,,,1988,Semana Rio,A Superpremiada Cerimônia do adeus em cartaz em São Paulo
2906,Cerimônia do Adeus||entrevista,,,1988,Revista Mulher de hoje,Um ator com sete vidas
2907,Cerimônia do Adeus||reportagem,,,1987,Revista Manchete,A Mente capta
2908,Cerimônia do Adeus||critica,Marli Berg,,1987,Revista Manchete,Estão vivos
2909,Cerimônia do Adeus||divulgação,,,1987,Revista Manchete,Estão vivos
2910,Cerimônia do Adeus||entrevista,Eliane Bardanachvili,,1987,Revista Isto é,Talento Premiado
2911,Cerimônia do Adeus||entrevista,,,1987,Revista Contigo,Cerimônia do Adeus
2912,Sergio Britto||escrito,Sergio Britto,,2009,,Agenda Sergio
2913,Rei Lear||digitado,,,,,Rei Lear
2914,Rei Lear||reportagem,,,2010,Revista Veja Rio,Livro
2915,Rei Lear||reportagem,Reynaldo Loy,,1984,Jornal Última Hora,Injustiça
2916,Rei Lear||reportagem,Reynaldo Loy,,1984,Jornal Última Hora,Lear
2917,Rei Lear||reportagem,Tânia Brandão,,1984,Jornal Última Hora,Liberdade voltou á cena em 1983
2918,Rei Lear||reportagem,Tânia Brandão,,1984,Jornal Última Hora,Liberdade voltou á cena em 1983
2919,Rei Lear||reportagem,,,1983,Revista Veja,As loucuras do poder
2920,Rei Lear||reportagem,Flavio Marinho,,1984,Jornal O Globo,Os vencedores dos cinco melhores espetáculos do ano
2921,Rei Lear||reportagem,Sonia Nolasco Ferreira,,1984,Jornal O Globo,Rei Lear de Olivier triunfo na televisão
2922,Rei Lear||reportagem,,,1984,Jornal O Globo,"De Vargas a Piaf, vencedores do Mambembe estão em cena"
2923,Rei Lear||reportagem,Flavio Marinho,,1984,Jornal O Globo,Os vencedores dos cinco melhores espetáculos do ano
2924,Rei Lear||reportagem,,,1984,Jornal O Globo,Indicados finalistas do Troféu Mambembe para a  temporada  de 93
2925,Rei Lear||coluna social,Cidinha Campos,,1984,Jornal O Fluminense,Cidinha na Jogada
2926,Cerimônia do Adeus||reportagem,,,1988,Revista Contigo,Chuva atrapalha casamento de Zezinha e Pedro Ernesto
2927,Rei Lear||reportagem,,,1984,Jornal O Fluminense,Yara Amaral em muita atividade
2928,Rei Lear||reportagem,,,1984,Jornal do Brasil,Teatro dos quatro produções
2929,Cerimônia do Adeus||entrevista,Tânia Carvalho,,1988,Revista Claudia,Marcos Frota
2930,Rei Lear||reportagem,,,1984,Jornal do Brasil,Troféu Mambembe
2931,Cerimônia do Adeus||reportagem,Maria Silva,,1987,Revista Amiga,Sérgio Britto tem uma casa enfeitada pelas melhores recordações
2932,Rei Lear||divulgação,,,1984,Jornal do Brasil,Rei Lear
2933,Cerimônia do Adeus||reportagem,Maria de Lourdes Soares,,1987,Revista Amiga,Sérgio Britto e Nathalia Timberg dizem adeus com uma cerimônia
2934,Rei Lear||coluna social,,,1984,Jornal do Brasil,Lance Livre
2935,Cerimônia do Adeus||reportagem,,,1987,Revista Amiga,Corpo Santo não tira Nathalia Timberg do teatro
2936,Rei Lear||reportagem,,,1984,Jornal do Brasil,Empresas
2937,Cerimônia do Adeus||reportagem,,,1987,O Fluminense,Sérgio corta a barba
2938,Cerimônia do Adeus||critica,,,1987,Jornal O Dia,O Acrobata de Bauru
2939,Cerimônia do Adeus||divulgação,,,1987,Jornal O Dia,A Cerimônia do Adeus
2940,Cerimônia do Adeus||coluna social,Reynaldo Loy,,1987,Jornal dos Sports,Moliere
2941,Sergio Britto||digitado,,,,,Se perder é uma forma de vida
2942,Cerimônia do Adeus||divulgação,,,1987,Jornal dos Sports,Cerimônia do adeus
2943,Cerimônia do Adeus||divulgação,,,1987,Jornal de Brasilia,Cerimônia do adeus
2944,Sergio Britto||escrito,,,,,"Hell, o espetáculo"
2945,Cerimônia do Adeus||divulgação,Macksen Luiz,,1987,Jornal do Brasil,Para encher a agenda
2946,Sergio Britto||escrito,,,,,A partir de 15 de julho
2947,Cerimônia do Adeus||critica,,,1987,Jornal do Brasil,Júri B
2948,Professor||escrito,,,,,A moça
2949,Cerimônia do Adeus||reportagem,Elisabeth Orsini,,1987,Jornal do Brasil,A solidão do autor
2950,Cerimônia do Adeus||divulgação,,,1987,Jornal do Brasil,Campeões de Bilheteria
2951,Cerimônia do Adeus||divulgação,,,1987,Jornal do Brasil,A Cerimônia do Adeus
2952,Cerimônia do Adeus||critica,,,1987,Jornal do Brasil,Júri B
2953,Cerimônia do Adeus||divulgação,,,1987,Jornal do Brasil,Cerimônia do Adeus
2954,Cerimônia do Adeus||critica,Macksen Luiz,,1987,Jornal do Brasil,Garimpo Afetivo
2955,Cerimônia do Adeus||reportagem,José Castello,,1988,Jornal do Brasil,O dramaturgo da Família
2956,Cerimônia do Adeus||propaganda,,,1988,Jornal do Brasil,A Cerimônia do adeus
2957,Cerimônia do Adeus||reportagem,Macksen Luiz,,1988,Jornal do Brasil,Confira o Moliére
2958,Cerimônia do Adeus||entrevista,Elisabeth Orsini,,1987,Jornal do Brasil,"Yara Amaral , a intérprete sem cerimônia , das grandes figuras maternas"
2959,Cerimônia do Adeus||critica,,,1987,Jornal do Brasil,Júri B
2960,Cerimônia do Adeus||divulgação,,,1987,Jornal do Brasil,Mauro Rasi no Teatro dos Quatro
2961,Cerimônia do Adeus||reportagem,Julio Worcman | Selmo Leisgold,,1987,Jornal do Brasil,Vídeo - ousadia
2962,Cerimônia do Adeus||divulgação,,,1987,Jornal do Brasil,Teatro
2963,Cerimônia do Adeus||reportagem,Elisabeth Orsini,,1987,Jornal do Brasil,Mauro Rasi Adeus definitivo ao besteirol
2964,Cerimônia do Adeus||coluna social,,,1987,Jornal do Brasil,Roda - Viva
2965,Cerimônia do Adeus||divulgação,,,1988,Jornal do Brasil,A Cerimônia do Adeus
2966,Cerimônia do Adeus||propaganda,,,1988,Jornal do Brasil,A Cerimônia do Adeus
2967,Cerimônia do Adeus||reportagem,Macksen Luiz,,1987,Jornal do Brasil,Bons Programas
2968,Cerimônia do Adeus||divulgação,,,1988,Jornal do Brasil,A Cerimônia do Adeus
